Time - Stamp,IP Address,API-Endpoint,System Details,Parsed Timestamp,Method,Endpoint,Status Code,Browser,Operating System
[19/Mar/2025:21:11:01 -0700],127.0.0.3,OPTIONS /create_email_configuration 400 Bad Request,Mozilla/5.0 (Ubuntu 22.04),2025-03-19 21:11:01,OPTIONS,/create_email_configuration,400,Mozilla/5.0,Ubuntu 22.04
[19/Mar/2025:21:12:43 -0700],127.0.0.1,OPTIONS /get_email_configuration 400 Bad Request,Mozilla/12.0 (Ubuntu 20.04),2025-03-19 21:12:43,OPTIONS,/get_email_configuration,400,Mozilla/12.0,Ubuntu 20.04
[19/Mar/2025:21:13:55 +0200],127.0.0.2,GET /email_configuration/audit/get_all 200 OK,Safari/2.2.4 (Windows 7),2025-03-19 21:13:55,GET,/email_configuration/audit/get_all,200,Safari/2.2.4,Windows 7
[19/Mar/2025:21:20:35 +0200],127.0.0.4,POST /get_email_configuration 500 Internal Server Error,Mozilla/12.0 (Mac OS Sequoia),2025-03-19 21:20:35,POST,/get_email_configuration,500,Mozilla/12.0,Mac OS Sequoia
[19/Mar/2025:21:21:33 +0200],127.0.0.2,PUT /email_configuration/audit/get_all 404 Not Found,UNKNOWN (Mac OS Sequoia),2025-03-19 21:21:33,PUT,/email_configuration/audit/get_all,404,UNKNOWN,Mac OS Sequoia
[19/Mar/2025:21:22:18 -0500],127.0.0.3,GET /email_configuration/test 404 Not Found,Safari/2.2.4 (Windows XP),2025-03-19 21:22:18,GET,/email_configuration/test,404,Safari/2.2.4,Windows XP
[19/Mar/2025:21:23:53 -0500],127.0.0.1,OPTIONS /create_email_configuration 502 Bad Gateway,Safari/2.2.4 (UNKNOWN),2025-03-19 21:23:53,OPTIONS,/create_email_configuration,502,Safari/2.2.4,UNKNOWN
[19/Mar/2025:21:25:47 +0000],127.0.0.5,OPTIONS /get_all_email_configuration 202 OK,UNKNOWN (Mac OS Ventura),2025-03-19 21:25:47,OPTIONS,/get_all_email_configuration,202,UNKNOWN,Mac OS Ventura
[19/Mar/2025:21:31:58 +0200],127.0.0.3,GET /get_all_email_configuration 202 OK,Chrome/5.1 (Linux Kernel 5.15),2025-03-19 21:31:58,GET,/get_all_email_configuration,202,Chrome/5.1,Linux Kernel 5.15
[19/Mar/2025:21:37:07 +0530],127.0.0.4,GET /email_configuration/test 502 Bad Gateway,UNKNOWN (UNKNOWN),2025-03-19 21:37:07,GET,/email_configuration/test,502,UNKNOWN,UNKNOWN
[19/Mar/2025:21:38:19 -0700],127.0.0.4,PUT /email_configuration/test 500 Internal Server Error,Mozilla/52.9 (Ubuntu 20.04),2025-03-19 21:38:19,PUT,/email_configuration/test,500,Mozilla/52.9,Ubuntu 20.04
[19/Mar/2025:21:42:51 +0000],127.0.0.3,GET /get_email_configuration 502 Bad Gateway,Chrome/117.2 (UNKNOWN),2025-03-19 21:42:51,GET,/get_email_configuration,502,Chrome/117.2,UNKNOWN
[19/Mar/2025:21:48:18 -0500],127.0.0.4,POST /disable_poller 401 Unauthorized,Mozilla/39.0 (UNKNOWN),2025-03-19 21:48:18,POST,/disable_poller,401,Mozilla/39.0,UNKNOWN
[19/Mar/2025:21:52:34 +0200],127.0.0.4,OPTIONS /email_configuration/audit/get_all 500 Internal Server Error,UNKNOWN (Ubuntu 22.04),2025-03-19 21:52:34,OPTIONS,/email_configuration/audit/get_all,500,UNKNOWN,Ubuntu 22.04
[19/Mar/2025:21:56:26 -0700],127.0.0.4,OPTIONS /enable_poller 502 Bad Gateway,Safari/2.2.4 (Mac OS Sequoia),2025-03-19 21:56:26,OPTIONS,/enable_poller,502,Safari/2.2.4,Mac OS Sequoia
[19/Mar/2025:21:59:45 +0000],127.0.0.2,POST /get_email_configuration 404 Not Found,UNKNOWN (Windows 10),2025-03-19 21:59:45,POST,/get_email_configuration,404,UNKNOWN,Windows 10
[19/Mar/2025:22:03:50 +0200],127.0.0.4,POST /update_email_configuration 403 Forbidden,UNKNOWN (Windows 7),2025-03-19 22:03:50,POST,/update_email_configuration,403,UNKNOWN,Windows 7
[19/Mar/2025:22:09:46 -0500],127.0.0.3,PUT /email_configuration/test 502 Bad Gateway,Mozilla/5.0 (Windows 10),2025-03-19 22:09:46,PUT,/email_configuration/test,502,Mozilla/5.0,Windows 10
[19/Mar/2025:22:16:24 +0000],127.0.0.1,OPTIONS /get_email_configuration 400 Bad Request,Chrome/4.2 (Windows 11),2025-03-19 22:16:24,OPTIONS,/get_email_configuration,400,Chrome/4.2,Windows 11
[19/Mar/2025:22:19:11 +0200],127.0.0.2,OPTIONS /get_all_email_configuration 400 Bad Request,Safari/2.2.4 (UNKNOWN),2025-03-19 22:19:11,OPTIONS,/get_all_email_configuration,400,Safari/2.2.4,UNKNOWN
[19/Mar/2025:22:21:56 +0000],127.0.0.3,GET /enable_poller 502 Bad Gateway,UNKNOWN (Mac OS Ventura),2025-03-19 22:21:56,GET,/enable_poller,502,UNKNOWN,Mac OS Ventura
[19/Mar/2025:22:25:47 +0530],127.0.0.1,GET /email_configuration/test 202 OK,Mozilla/12.0 (Ubuntu 20.04),2025-03-19 22:25:47,GET,/email_configuration/test,202,Mozilla/12.0,Ubuntu 20.04
[19/Mar/2025:22:28:18 +0000],127.0.0.3,PUT /get_email_configuration 500 Internal Server Error,Safari/2.2.4 (Windows 7),2025-03-19 22:28:18,PUT,/get_email_configuration,500,Safari/2.2.4,Windows 7
[19/Mar/2025:22:33:06 -0700],127.0.0.4,OPTIONS /email_configuration/unseen/get 202 OK,Chrome/5.1 (Ubuntu 22.04),2025-03-19 22:33:06,OPTIONS,/email_configuration/unseen/get,202,Chrome/5.1,Ubuntu 22.04
[19/Mar/2025:22:39:05 -0700],127.0.0.4,OPTIONS /email_configuration/unseen/get 300 Redirect,UNKNOWN (Mac OS Ventura),2025-03-19 22:39:05,OPTIONS,/email_configuration/unseen/get,300,UNKNOWN,Mac OS Ventura
[19/Mar/2025:22:42:52 +0000],127.0.0.4,POST /get_all_email_configuration 403 Forbidden,UNKNOWN (Linux Kernel 6.0),2025-03-19 22:42:52,POST,/get_all_email_configuration,403,UNKNOWN,Linux Kernel 6.0
[19/Mar/2025:22:43:43 +0000],127.0.0.2,POST /get_email_configuration 200 OK,UNKNOWN (Linux Kernel 5.15),2025-03-19 22:43:43,POST,/get_email_configuration,200,UNKNOWN,Linux Kernel 5.15
[19/Mar/2025:22:46:48 -0700],127.0.0.5,PUT /update_email_configuration 404 Not Found,Chrome/117.2 (UNKNOWN),2025-03-19 22:46:48,PUT,/update_email_configuration,404,Chrome/117.2,UNKNOWN
[19/Mar/2025:22:52:28 +0200],127.0.0.2,PUT /create_email_configuration 202 OK,UNKNOWN (UNKNOWN),2025-03-19 22:52:28,PUT,/create_email_configuration,202,UNKNOWN,UNKNOWN
[19/Mar/2025:22:54:14 +0530],127.0.0.5,GET /update_email_configuration 300 Redirect,Chrome/2.1 (Linux Kernel 5.15),2025-03-19 22:54:14,GET,/update_email_configuration,300,Chrome/2.1,Linux Kernel 5.15
[19/Mar/2025:22:55:55 +0530],127.0.0.5,PUT /disable_poller 300 Redirect,Safari/2.2.4 (Mac OS Sequoia),2025-03-19 22:55:55,PUT,/disable_poller,300,Safari/2.2.4,Mac OS Sequoia
[19/Mar/2025:22:57:30 +0200],127.0.0.1,PUT /get_all_email_configuration 400 Bad Request,Safari/2.2.4 (UNKNOWN),2025-03-19 22:57:30,PUT,/get_all_email_configuration,400,Safari/2.2.4,UNKNOWN
[19/Mar/2025:22:59:13 -0500],127.0.0.3,PUT /email_configuration/audit/get_all 300 Redirect,UNKNOWN (UNKNOWN),2025-03-19 22:59:13,PUT,/email_configuration/audit/get_all,300,UNKNOWN,UNKNOWN
[19/Mar/2025:23:03:11 +0000],127.0.0.5,PUT /get_all_email_configuration 403 Forbidden,Mozilla/25.3 (UNKNOWN),2025-03-19 23:03:11,PUT,/get_all_email_configuration,403,Mozilla/25.3,UNKNOWN
[19/Mar/2025:23:08:39 +0200],127.0.0.5,PUT /email_configuration/test 403 Forbidden,Safari/2.2.4 (Windows 11),2025-03-19 23:08:39,PUT,/email_configuration/test,403,Safari/2.2.4,Windows 11
[19/Mar/2025:23:14:42 -0700],127.0.0.4,POST /get_all_email_configuration 500 Internal Server Error,Safari/2.2.4 (UNKNOWN),2025-03-19 23:14:42,POST,/get_all_email_configuration,500,Safari/2.2.4,UNKNOWN
[19/Mar/2025:23:15:18 +0530],127.0.0.3,OPTIONS /email_configuration/audit/get_all 500 Internal Server Error,Mozilla/5.0 (Ubuntu 20.04),2025-03-19 23:15:18,OPTIONS,/email_configuration/audit/get_all,500,Mozilla/5.0,Ubuntu 20.04
[19/Mar/2025:23:19:45 +0200],127.0.0.2,OPTIONS /email_configuration/audit/get_all 500 Internal Server Error,Safari/2.2.4 (Mac OS Sequoia),2025-03-19 23:19:45,OPTIONS,/email_configuration/audit/get_all,500,Safari/2.2.4,Mac OS Sequoia
[19/Mar/2025:23:24:21 -0700],127.0.0.2,OPTIONS /enable_poller 300 Redirect,Safari/2.2.4 (Ubuntu 20.04),2025-03-19 23:24:21,OPTIONS,/enable_poller,300,Safari/2.2.4,Ubuntu 20.04
[19/Mar/2025:23:26:09 +0000],127.0.0.5,PUT /email_configuration/audit/get_all 200 OK,UNKNOWN (Windows 7),2025-03-19 23:26:09,PUT,/email_configuration/audit/get_all,200,UNKNOWN,Windows 7
[19/Mar/2025:23:32:33 +0200],127.0.0.3,PUT /email_configuration/unseen/get 403 Forbidden,Safari/2.2.4 (Mac OS Sequoia),2025-03-19 23:32:33,PUT,/email_configuration/unseen/get,403,Safari/2.2.4,Mac OS Sequoia
[19/Mar/2025:23:33:47 +0530],127.0.0.1,PUT /disable_poller 500 Internal Server Error,Safari/2.2.4 (Mac OS Ventura),2025-03-19 23:33:47,PUT,/disable_poller,500,Safari/2.2.4,Mac OS Ventura
[19/Mar/2025:23:35:35 -0700],127.0.0.1,POST /disable_poller 502 Bad Gateway,UNKNOWN (Mac OS Sequoia),2025-03-19 23:35:35,POST,/disable_poller,502,UNKNOWN,Mac OS Sequoia
[19/Mar/2025:23:39:55 +0000],127.0.0.1,PUT /disable_poller 300 Redirect,UNKNOWN (Ubuntu 22.04),2025-03-19 23:39:55,PUT,/disable_poller,300,UNKNOWN,Ubuntu 22.04
[19/Mar/2025:23:46:22 +0200],127.0.0.5,OPTIONS /disable_poller 404 Not Found,Safari/2.2.4 (UNKNOWN),2025-03-19 23:46:22,OPTIONS,/disable_poller,404,Safari/2.2.4,UNKNOWN
[19/Mar/2025:23:46:48 +0000],127.0.0.4,POST /update_email_configuration 400 Bad Request,UNKNOWN (UNKNOWN),2025-03-19 23:46:48,POST,/update_email_configuration,400,UNKNOWN,UNKNOWN
[19/Mar/2025:23:51:53 -0700],127.0.0.5,PUT /get_all_email_configuration 400 Bad Request,Chrome/3.0 (Mac OS Sequoia),2025-03-19 23:51:53,PUT,/get_all_email_configuration,400,Chrome/3.0,Mac OS Sequoia
[19/Mar/2025:23:56:07 +0000],127.0.0.5,POST /email_configuration/audit/get_all 400 Bad Request,Chrome/4.2 (UNKNOWN),2025-03-19 23:56:07,POST,/email_configuration/audit/get_all,400,Chrome/4.2,UNKNOWN
[19/Mar/2025:23:59:46 -0700],127.0.0.1,OPTIONS /enable_poller 403 Forbidden,Mozilla/25.3 (Windows XP),2025-03-19 23:59:46,OPTIONS,/enable_poller,403,Mozilla/25.3,Windows XP
[19/Mar/2025:23:59:58 +0000],127.0.0.1,POST /email_configuration/test 502 Bad Gateway,UNKNOWN (Linux Kernel 6.0),2025-03-19 23:59:58,POST,/email_configuration/test,502,UNKNOWN,Linux Kernel 6.0
[20/Mar/2025:00:01:15 -0700],127.0.0.4,POST /enable_poller 404 Not Found,Safari/2.2.4 (UNKNOWN),2025-03-20 00:01:15,POST,/enable_poller,404,Safari/2.2.4,UNKNOWN
[20/Mar/2025:00:04:29 +0200],127.0.0.1,GET /email_configuration/audit/get_all 200 OK,Chrome/88.0 (Windows XP),2025-03-20 00:04:29,GET,/email_configuration/audit/get_all,200,Chrome/88.0,Windows XP
[20/Mar/2025:00:04:37 +0200],127.0.0.3,GET /get_email_configuration 403 Forbidden,Safari/2.2.4 (Mac OS Sequoia),2025-03-20 00:04:37,GET,/get_email_configuration,403,Safari/2.2.4,Mac OS Sequoia
[20/Mar/2025:00:10:03 +0530],127.0.0.4,POST /create_email_configuration 200 OK,UNKNOWN (UNKNOWN),2025-03-20 00:10:03,POST,/create_email_configuration,200,UNKNOWN,UNKNOWN
[20/Mar/2025:00:14:26 -0500],127.0.0.5,GET /disable_poller 400 Bad Request,Safari/2.2.4 (UNKNOWN),2025-03-20 00:14:26,GET,/disable_poller,400,Safari/2.2.4,UNKNOWN
[20/Mar/2025:00:16:25 -0500],127.0.0.3,POST /email_configuration/audit/get_all 200 OK,UNKNOWN (Linux Kernel 6.0),2025-03-20 00:16:25,POST,/email_configuration/audit/get_all,200,UNKNOWN,Linux Kernel 6.0
[20/Mar/2025:00:17:25 -0700],127.0.0.2,POST /email_configuration/test 202 OK,Chrome/88.0 (Ubuntu 20.04),2025-03-20 00:17:25,POST,/email_configuration/test,202,Chrome/88.0,Ubuntu 20.04
[20/Mar/2025:00:17:35 +0530],127.0.0.4,PUT /email_configuration/unseen/get 401 Unauthorized,Mozilla/5.0 (Linux Kernel 5.15),2025-03-20 00:17:35,PUT,/email_configuration/unseen/get,401,Mozilla/5.0,Linux Kernel 5.15
[20/Mar/2025:00:21:03 -0500],127.0.0.3,POST /update_email_configuration 502 Bad Gateway,Chrome/103.0 (Windows 11),2025-03-20 00:21:03,POST,/update_email_configuration,502,Chrome/103.0,Windows 11
[20/Mar/2025:00:24:41 +0200],127.0.0.4,OPTIONS /email_configuration/audit/get_all 502 Bad Gateway,UNKNOWN (Ubuntu 22.04),2025-03-20 00:24:41,OPTIONS,/email_configuration/audit/get_all,502,UNKNOWN,Ubuntu 22.04
[20/Mar/2025:00:30:24 -0700],127.0.0.2,POST /email_configuration/test 403 Forbidden,Safari/2.2.4 (Windows XP),2025-03-20 00:30:24,POST,/email_configuration/test,403,Safari/2.2.4,Windows XP
[20/Mar/2025:00:37:03 +0200],127.0.0.5,OPTIONS /get_email_configuration 400 Bad Request,Safari/2.2.4 (Windows XP),2025-03-20 00:37:03,OPTIONS,/get_email_configuration,400,Safari/2.2.4,Windows XP
[20/Mar/2025:00:43:02 -0500],127.0.0.4,PUT /email_configuration/unseen/get 403 Forbidden,Chrome/22.0 (Windows 10),2025-03-20 00:43:02,PUT,/email_configuration/unseen/get,403,Chrome/22.0,Windows 10
[20/Mar/2025:00:46:48 -0700],127.0.0.3,OPTIONS /get_all_email_configuration 200 OK,UNKNOWN (Windows 7),2025-03-20 00:46:48,OPTIONS,/get_all_email_configuration,200,UNKNOWN,Windows 7
[20/Mar/2025:00:47:34 +0530],127.0.0.4,OPTIONS /create_email_configuration 400 Bad Request,UNKNOWN (UNKNOWN),2025-03-20 00:47:34,OPTIONS,/create_email_configuration,400,UNKNOWN,UNKNOWN
[20/Mar/2025:00:53:21 -0500],127.0.0.3,GET /create_email_configuration 500 Internal Server Error,Mozilla/25.3 (Linux Kernel 6.0),2025-03-20 00:53:21,GET,/create_email_configuration,500,Mozilla/25.3,Linux Kernel 6.0
[20/Mar/2025:00:56:50 +0000],127.0.0.4,OPTIONS /update_email_configuration 404 Not Found,UNKNOWN (Ubuntu 20.04),2025-03-20 00:56:50,OPTIONS,/update_email_configuration,404,UNKNOWN,Ubuntu 20.04
[20/Mar/2025:01:01:02 +0530],127.0.0.5,POST /email_configuration/audit/get_all 500 Internal Server Error,UNKNOWN (Linux Kernel 6.0),2025-03-20 01:01:02,POST,/email_configuration/audit/get_all,500,UNKNOWN,Linux Kernel 6.0
[20/Mar/2025:01:01:37 +0200],127.0.0.5,POST /disable_poller 403 Forbidden,Safari/2.2.4 (Ubuntu 22.04),2025-03-20 01:01:37,POST,/disable_poller,403,Safari/2.2.4,Ubuntu 22.04
[20/Mar/2025:01:07:07 -0500],127.0.0.3,POST /disable_poller 400 Bad Request,Mozilla/12.0 (Mac OS Sequoia),2025-03-20 01:07:07,POST,/disable_poller,400,Mozilla/12.0,Mac OS Sequoia
[20/Mar/2025:01:11:38 -0500],127.0.0.4,GET /update_email_configuration 500 Internal Server Error,UNKNOWN (UNKNOWN),2025-03-20 01:11:38,GET,/update_email_configuration,500,UNKNOWN,UNKNOWN
[20/Mar/2025:01:17:35 -0700],127.0.0.4,POST /create_email_configuration 400 Bad Request,Safari/2.2.4 (Linux Kernel 5.15),2025-03-20 01:17:35,POST,/create_email_configuration,400,Safari/2.2.4,Linux Kernel 5.15
[20/Mar/2025:01:23:03 +0000],127.0.0.5,POST /update_email_configuration 202 OK,Chrome/103.0 (Windows 11),2025-03-20 01:23:03,POST,/update_email_configuration,202,Chrome/103.0,Windows 11
[20/Mar/2025:01:26:25 +0530],127.0.0.4,OPTIONS /email_configuration/audit/get_all 502 Bad Gateway,Chrome/45.3 (Ubuntu 20.04),2025-03-20 01:26:25,OPTIONS,/email_configuration/audit/get_all,502,Chrome/45.3,Ubuntu 20.04
[20/Mar/2025:01:32:32 +0200],127.0.0.1,GET /disable_poller 500 Internal Server Error,UNKNOWN (Ubuntu 20.04),2025-03-20 01:32:32,GET,/disable_poller,500,UNKNOWN,Ubuntu 20.04
